-,,,
-,,,
TP1,BOB1101,28.249, 
TP1,CPK0331,52.521, 
TP1,HAM0331,54.007, 
TP1,ISL0331,36.72, 
TP1,KAW0111,10.773, 
TP1,KAW0113,0, 
TP1,MPE1101,56.501, 
TP1,PEN0331,115.58, 
TP1,WGN0331,14.719, 
TP1,ABY0111,2.353, 
TP1,ALB0331,47.438, 
TP1,ALB1101,18.279, 
TP1,APS0111,0.077, 
TP1,ARG1101,0.023, 
TP1,ASB0331,7.122, 
TP1,ASB0661,46.664, 
TP1,ASY0111,9.214, 
TP1,ATU1101,0.228, 
TP1,BAL0331,18.484, 
TP1,BDE0111,7.145, 
TP1,BLN0331,32.888, 
TP1,BOB0331,4.569, 
TP1,BPD1101,7.471, 
TP1,BPE0331,38.828, 
TP1,BPE0551,0.097, 
TP1,BPT1101,7.922, 
TP1,BRB0331,46.622, 
TP1,BRK0331,10.522, 
TP1,BRY0661,90.408, 
TP1,BWK1101,0, 
TP1,CBG0111,19.991, 
TP1,CLH0111,0.106, 
TP1,CML0331,19.49, 
TP1,COL0111,0.081, 
TP1,COL0661,0, 
TP1,CPK0111,6.251, 
TP1,CST0331,15.182, 
TP1,CUL0331,7.079, 
TP1,CUL0661,2.896, 
TP1,CYD0331,2.615, 
TP1,CYD2201,0, 
TP1,DOB0331,-0.71, 
TP1,DVK0111,5.679, 
TP1,EDG0331,32.888, 
TP1,EDN0331,21.793, 
TP1,FHL0331,27.61, 
TP1,FKN0331,17.475, 
TP1,GFD0331,19.997, 
TP1,GLN0331,81.022, 
TP1,GLN0332,41.278, 
TP1,GOR0331,14.665, 
TP1,GYM0661,4.952, 
TP1,GYT0331,-0.286, 
TP1,HAM0111,9.352, 
TP1,HAM0551,0.581, 
TP1,HAY0111,5.084, 
TP1,HAY0331,4.163, 
TP1,HEN0331,40.669, 
TP1,HEP0331,51.018, 
TP1,HIN0331,17.14, 
TP1,HKK0661,0.383, 
TP1,HLY0331,10.015, 
TP1,HOB1101,23.665, 
TP1,HOR0331,7.533, 
TP1,HOR0661,12.614, 
TP1,HTI0331,11.519, 
TP1,HUI0331,20.567, 
TP1,HWA0331,15.135, 
TP1,HWA0332,6.163, 
TP1,HWA1101,0, 
TP1,HWA1102,0, 
TP1,HWB0331,20.873, 
TP1,HWB0332,10.298, 
TP1,HWB1101,3.346, 
TP1,INV0331,33.344, 
TP1,ISL0661,148.503, 
TP1,KAI0111,11.025, 
TP1,KAW0112,0, 
TP1,KAW0112_DLS0,15.321, 
TP1,KAW0113_DLS1,65.843, 
