i_TradePeriodNodeDemand,-,-
TP13,COL0661,0
TP13,CPK0111,10.931
TP13,CST0331,26.946
TP13,CUL0331,5.259
TP13,CUL0661,3.201
TP13,CYD0331,1.288
TP13,CYD2201,0
TP13,DOB0331,1.602
TP13,DVK0111,7.488
TP13,EDG0331,42.63
TP13,EDN0331,4.289
TP13,FHL0331,29.785
TP13,FKN0331,44.334
TP13,GFD0331,37.65
TP13,GLN0331,89.645
TP13,GLN0332,35.176
TP13,GOR0331,17.551
TP13,GYM0661,7.602
TP13,GYT0331,6.328
TP13,HAM0111,19.142
TP13,HAM0551,0.038
TP13,HAY0111,11.009
TP13,HAY0331,10.364
TP13,HEN0331,63.174
TP13,HEP0331,80.069
TP13,HKK0661,1.167
TP13,HLY0331,15.059
TP13,HOB1101,23.113
TP13,HOR0331,5.823
TP13,HOR0661,4.365
TP13,HTI0331,18.131
TP13,HUI0331,22.999
TP13,HWA0331,17.375
TP13,HWA0332,5.688
TP13,HWA1101,0
TP13,HWA1102,0
TP13,HWB0331,36.893
TP13,HWB0332,25.387
TP13,HWB1101,5.844
TP13,INV0331,54.541
TP13,ISL0661,296.951
TP13,KAI0111,22.234
TP13,KAW0112,39
TP13,KAW1101,0
TP13,KBY0661,1.09
TP13,KBY0662,1.245
TP13,KIK0111,1.475
TP13,KIN0111,44.588
TP13,KIN0112,-24.697
TP13,KIN0113,16.579
TP13,KMO0331,9.055
TP13,KOE1101,12.65
TP13,KPA1101,0
TP13,KUM0661,-2.505
TP13,KWA0111,18.755
TP13,LFD1101,1.036
TP13,LFD1102,0.941
TP13,LTN0331,30.704
TP13,MAN2201,1.017
TP13,MAT1101,0.157
TP13,MCH0111,0.986
TP13,MER0331,0
TP13,MGM0331,4.436
TP13,MHO0331,21.457
TP13,MKE1101,0.284
TP13,MLG0111,14.053
TP13,MLG0331,20.137
TP13,MNG0331,68.806
TP13,MNG1101,5.697
TP13,MNI0111,6.364
TP13,MST0331,27.883
TP13,MTM0331,37.543
TP13,MTN0331,9.448
TP13,MTO0331,8.215
TP13,MTR0331,4.349
TP13,NAP2201,0
TP13,NAP2202,0
TP13,NMA0331,8.957
TP13,NPK0331,4.163
TP13,NPL0331,6.226
TP13,NSY0331,21.76
TP13,OAM0331,19.994
TP13,OKN0111,5.95
TP13,ONG0331,0.222
TP13,OPK0331,3.533
TP13,ORO1101,3.12
TP13,ORO1102,3.07
TP13,OTA0221,36.275
TP13,OTI0111,0.061
TP13,OWH0111,7.197
TP13,PAK0331,83.417
TP13,PAO1101,20.999
TP13,PEN0221,34.366
TP13,PEN0251,3.718
TP13,PEN1101,82.702
TP13,PNI0331,10.401
TP13,PPI2201,0
TP13,RDF0331,32.15
TP13,RFN1101,1.024
TP13,RFN1102,0.951
TP13,ROS0221,55.329
TP13,ROS1101,30.418
TP13,ROT0111,13.897
TP13,ROT0331,26.098
TP13,ROT1101,0
TP13,SBK0331,19.358
TP13,SBK0661,9.739
TP13,SDN0331,37.523
TP13,SFD0331,12.18
TP13,SFD2201,0
TP13,STK0331,82.595
TP13,STK0661,15.298
TP13,STU0111,5.049
TP13,SVL0331,40.667
TP13,SWN0251,3.217
TP13,SWN2201,0.08
TP13,TAK0331,62.77
TP13,TGA0111,15.772
TP13,TGA0331,46.071
TP13,THI2201,0
TP13,TIM0111,44.657
TP13,TKA0331,3.528
TP13,TKH0111,0.579
TP13,TKR0331,52.716
TP13,TKU0331,5.07
TP13,TMI0331,22.125
TP13,TMK0331,13.92
TP13,TMN0551,1.594
TP13,TMU0111,22.803
TP13,TNG0111,32.33
TP13,TNG0551,1.1
TP13,TRK0111,4.105
TP13,TUI1101,30.804
TP13,TWC2201,0.812
TP13,TWH0331,1.049
TP13,TWI2201,576.265
TP13,TWZ0331,5.125
TP13,UHT0331,18.438
TP13,WAI0111,5.474
TP13,WDV0111,1.312
TP13,WDV1101,0.454
TP13,WEL0331,17.733
TP13,WHI2201,0.17
TP13,WIL0331,9
TP13,WIR0331,56.156
TP13,WKM2201,4.376
TP13,WPR0331,4.754
TP13,WPR0661,1.23
TP13,WPT0111,0
TP13,WPW0331,12.444
TP13,WRD0331,38.723
TP13,WRK0331,27.461
TP13,WTK0111,0
TP13,WTK0331,0
TP13,WTU0331,51.389
TP13,WVY0111,2.604
TP13,WWD1102,-14.74
TP13,WWD1103,-14.694
TP14,BOB1101,49.346
TP14,CPK0331,95.822
TP14,HAM0331,90.948
TP14,HIN0331,25.64
TP14,ISL0331,61.135
TP14,KAW0111,15.479
TP14,KAW0113,0
TP14,KIN0331,12.06
TP14,KPU0661,27.115
TP14,MPE1101,75.463
TP14,PEN0331,185.072
TP14,PRM0331,41.245
TP14,WGN0331,16.201
TP14,WHI0111,67.961
TP14,WHU0331,14.119
TP14,WKO0331,22.092
TP14,KAW0112_DLS0,0
TP14,KAW0113_DLS1,35.337
TP14,ABY0111,2.853
TP14,ALB0331,82.277
TP14,ALB1101,43.141
TP14,APS0111,0.161
TP14,ARG1101,0.033
TP14,ASB0331,19.5
TP14,ASB0661,25.532
TP14,ASY0111,12.905
TP14,ATU1101,0.112
TP14,BAL0331,19.004
TP14,BDE0111,7.417
TP14,BLN0331,51.544
TP14,BOB0331,7.939
TP14,BPD1101,1.344
TP14,BPE0331,61.079
TP14,BPE0551,0.066
TP14,BPT1101,0.167
TP14,BRB0331,48.441
TP14,BRK0331,18.056
TP14,BRY0661,103.817
TP14,BWK1101,0
TP14,CBG0111,27.068
TP14,CLH0111,0.336
TP14,CML0331,25.762
TP14,COL0111,0.218
TP14,COL0661,0
TP14,CPK0111,13.137
TP14,CST0331,31.82
TP14,CUL0331,5.639
TP14,CUL0661,3.549
TP14,CYD0331,1.472
TP14,CYD2201,0
TP14,DOB0331,2.249
TP14,DVK0111,8.573
TP14,EDG0331,46.458
TP14,EDN0331,4.692
TP14,FHL0331,33.423
TP14,FKN0331,48.006
TP14,GFD0331,43.286
TP14,GLN0331,89.904
TP14,GLN0332,37.214
TP14,GOR0331,19.302
TP14,GYM0661,8.624
TP14,GYT0331,7.232
TP14,HAM0111,22.021
TP14,HAM0551,0.039
TP14,HAY0111,12.406
TP14,HAY0331,11.594
TP14,HEN0331,71.765
TP14,HEP0331,91.657
TP14,HKK0661,2.151
TP14,HLY0331,17.272
TP14,HOB1101,26.984
TP14,HOR0331,6.242
TP14,HOR0661,4.325
TP14,HTI0331,19.838
TP14,HUI0331,26.213
TP14,HWA0331,19.141
TP14,HWA0332,5.691
TP14,HWA1101,0
TP14,HWA1102,0
TP14,HWB0331,34.607
TP14,HWB0332,29.427
TP14,HWB1101,6.469
TP14,INV0331,61.254
TP14,ISL0661,323.801
TP14,KAI0111,24.668
TP14,KAW0112,39.122
TP14,KAW1101,0
TP14,KBY0661,1.144
TP14,KBY0662,1.3
TP14,KIK0111,1.657
TP14,KIN0111,44.32
TP14,KIN0112,-24.371
TP14,KIN0113,16.945
TP14,KMO0331,11.436
TP14,KOE1101,16.961
TP14,KPA1101,0
TP14,KUM0661,-2.411
TP14,KWA0111,21.582
TP14,LFD1101,1.104
TP14,LFD1102,1.02
TP14,LTN0331,35.494
TP14,MAN2201,0.996
TP14,MAT1101,0.206
TP14,MCH0111,1.056
TP14,MER0331,0
TP14,MGM0331,4.967
TP14,MHO0331,24.511
TP14,MKE1101,0.002
TP14,MLG0111,16.12
TP14,MLG0331,23.331
TP14,MNG0331,76.206
TP14,MNG1101,9.172
TP14,MNI0111,6.374
TP14,MST0331,31.107
TP14,MTM0331,43.548
TP14,MTN0331,10.83
TP14,MTO0331,9.884
TP14,MTR0331,4.857
TP14,NAP2201,0
TP14,NAP2202,0
TP14,NMA0331,11.86
TP14,NPK0331,4.283
TP14,NPL0331,6.975
TP14,NSY0331,22.571
TP14,OAM0331,22.855
TP14,OKN0111,6.302
TP14,ONG0331,0.575
TP14,OPK0331,3.989
TP14,ORO1101,3.114
TP14,ORO1102,3.062
TP14,OTA0221,39.582
TP14,OTI0111,0.061
TP14,OWH0111,8.285
TP14,PAK0331,96.089
TP14,PAO1101,23.267
TP14,PEN0221,39.163
TP14,PEN0251,4.501
TP14,PEN1101,96.091
TP14,PNI0331,12.336
TP14,PPI2201,0
TP14,RDF0331,37.862
TP14,RFN1101,1.084
TP14,RFN1102,1.029
TP14,ROS0221,64.258
TP14,ROS1101,36.5
TP14,ROT0111,16.174
TP14,ROT0331,30.17
TP14,ROT1101,0
TP14,SBK0331,21.678
TP14,SBK0661,10.735
TP14,SDN0331,44.014
TP14,SFD0331,13.384
TP14,SFD2201,0
TP14,STK0331,94.702
TP14,STK0661,16.882
TP14,STU0111,5.444
TP14,SVL0331,46.255
TP14,SWN0251,3.05
TP14,SWN2201,0.1
TP14,TAK0331,70.339
TP14,TGA0111,19.112
TP14,TGA0331,54.149
TP14,THI2201,0
TP14,TIM0111,49.547
TP14,TKA0331,3.653
TP14,TKH0111,0.659
TP14,TKR0331,61.374
TP14,TKU0331,5.516
TP14,TMI0331,24.107
TP14,TMK0331,15.244
TP14,TMN0551,-1.048
TP14,TMU0111,26.526
TP14,TNG0111,31.58
TP14,TNG0551,1.392
TP14,TRK0111,4.876
TP14,TUI1101,35.225
TP14,TWC2201,0.821
TP14,TWH0331,15.706
TP14,TWI2201,575.675
TP14,TWZ0331,5.613
TP14,UHT0331,20.724
TP14,WAI0111,6.217
TP14,WDV0111,1.511
TP14,WDV1101,0.453
TP14,WEL0331,20.405
TP14,WHI2201,0.17
TP14,WIL0331,16.432
TP14,WIR0331,63.036
TP14,WKM2201,4.792
TP14,WPR0331,5.222
TP14,WPR0661,1.566
TP14,WPT0111,0
TP14,WPW0331,13.703
TP14,WRD0331,45.388
TP14,WRK0331,30.66
TP14,WTK0111,0
TP14,WTK0331,0
TP14,WTU0331,56.929
TP14,WVY0111,2.864
TP14,WWD1102,-20.46
TP14,WWD1103,-13.715
TP15,BOB1101,52.933
TP15,CPK0331,113.069
TP15,HAM0331,101.934
TP15,HIN0331,29.165
TP15,ISL0331,67.334
TP15,KAW0111,16.137
TP15,KAW0113,0
TP15,KIN0331,13.231
TP15,KPU0661,31.205
TP15,MPE1101,86.747
TP15,PEN0331,212.612
TP15,PRM0331,44.949
TP15,WGN0331,18.611
TP15,WHI0111,69.069
TP15,WHU0331,15.149
TP15,WKO0331,24.436
TP15,KAW0112_DLS0,0
TP15,KAW0113_DLS1,35.851
TP15,ABY0111,2.872
TP15,ALB0331,95.501
TP15,ALB1101,49.883
TP15,APS0111,0.17
TP15,ARG1101,0.003
TP15,ASB0331,22.415
TP15,ASB0661,29.688
TP15,ASY0111,13.336
TP15,ATU1101,0.128
TP15,BAL0331,19.578
TP15,BDE0111,8.033
TP15,BLN0331,57.562
TP15,BOB0331,8.602
TP15,BPD1101,1.484
TP15,BPE0331,69.593
TP15,BPE0551,0.067
TP15,BPT1101,0.218
TP15,BRB0331,49.486
TP15,BRK0331,20.48
TP15,BRY0661,112.296
TP15,BWK1101,0
TP15,CBG0111,28.3
TP15,CLH0111,0.331
TP15,CML0331,29.791
TP15,COL0111,0.217
TP15,COL0661,0
TP15,CPK0111,16.199
TP15,CST0331,37.042
TP15,CUL0331,5.961
TP15,CUL0661,3.953
TP15,CYD0331,-0.143
TP15,CYD2201,0
TP15,DOB0331,2.896
TP15,DVK0111,9.635
TP15,EDG0331,49.287
TP15,EDN0331,5.062
TP15,FHL0331,37.469
TP15,FKN0331,53.323
TP15,GFD0331,48.546
TP15,GLN0331,86.459
TP15,GLN0332,38.967
TP15,GOR0331,20.482
TP15,GYM0661,9.187
TP15,GYT0331,7.853
TP15,HAM0111,25.539
TP15,HAM0551,0.109
TP15,HAY0111,13.506
TP15,HAY0331,12.541
TP15,HEN0331,80.179
TP15,HEP0331,102.408
TP15,HKK0661,2.265
TP15,HLY0331,19.732
TP15,HOB1101,32.57
TP15,HOR0331,6.76
TP15,HOR0661,4.385
TP15,HTI0331,22.49
TP15,HUI0331,28.131
TP15,HWA0331,20.901
TP15,HWA0332,5.687
TP15,HWA1101,0
TP15,HWA1102,0
TP15,HWB0331,38.939
TP15,HWB0332,34.191
TP15,HWB1101,7.094
TP15,INV0331,67.882
TP15,ISL0661,348.117
TP15,KAI0111,26.315
TP15,KAW0112,39.96
TP15,KAW1101,0
TP15,KBY0661,1.251
TP15,KBY0662,1.409
TP15,KIK0111,1.781
TP15,KIN0111,44.489
TP15,KIN0112,-25.054
TP15,KIN0113,16.815
TP15,KMO0331,12.762
TP15,KOE1101,23.381
TP15,KPA1101,0
TP15,KUM0661,-2.087
TP15,KWA0111,25.387
TP15,LFD1101,1.016
TP15,LFD1102,0.936
TP15,LTN0331,39.806
TP15,MAN2201,1.002
TP15,MAT1101,0.316
TP15,MCH0111,1.147
TP15,MER0331,0
TP15,MGM0331,5.589
TP15,MHO0331,27.754
TP15,MKE1101,0
TP15,MLG0111,18.287
TP15,MLG0331,26.328
TP15,MNG0331,82.986
TP15,MNG1101,9.6
TP15,MNI0111,6.422
TP15,MST0331,33.8
TP15,MTM0331,50.245
TP15,MTN0331,11.901
TP15,MTO0331,11.191
TP15,MTR0331,5.243
TP15,NAP2201,0
TP15,NAP2202,0
TP15,NMA0331,12.187
TP15,NPK0331,4.636
TP15,NPL0331,7.98
TP15,NSY0331,23.317
TP15,OAM0331,23.738
TP15,OKN0111,6.821
TP15,ONG0331,1.161
TP15,OPK0331,4.486
TP15,ORO1101,2.533
TP15,ORO1102,2.481
TP15,OTA0221,43.603
TP15,OTI0111,0.328
TP15,OWH0111,9.267
TP15,PAK0331,107.207
TP15,PAO1101,25.057
TP15,PEN0221,43.737
TP15,PEN0251,4.177
TP15,PEN1101,114.468
TP15,PNI0331,13.795
TP15,PPI2201,0
TP15,RDF0331,43.726
TP15,RFN1101,1.138
TP15,RFN1102,1.099
TP15,ROS0221,73.174
TP15,ROS1101,43.402
TP15,ROT0111,18.413
TP15,ROT0331,34.309
TP15,ROT1101,0
TP15,SBK0331,23.815
TP15,SBK0661,11.314
TP15,SDN0331,51.398
TP15,SFD0331,14.71
TP15,SFD2201,0
TP15,STK0331,108.812
TP15,STK0661,19.097
TP15,STU0111,5.814
TP15,SVL0331,52.858
TP15,SWN0251,3.546
TP15,SWN2201,0.12
TP15,TAK0331,78.16
TP15,TGA0111,22.14
TP15,TGA0331,62.431
TP15,THI2201,0
TP15,TIM0111,54.51
TP15,TKA0331,3.785
TP15,TKH0111,0.752
TP15,TKR0331,68.134
TP15,TKU0331,6.166
TP15,TMI0331,25.973
TP15,TMK0331,15.967
TP15,TMN0551,-1.376
TP15,TMU0111,27.607
TP15,TNG0111,22.913
TP15,TNG0551,0.151
TP15,TRK0111,5.389
TP15,TUI1101,39.246
TP15,TWC2201,0.827
TP15,TWH0331,35.617
TP15,TWI2201,576.247
TP15,TWZ0331,5.714
TP15,UHT0331,22.847
TP15,WAI0111,7.162
TP15,WDV0111,1.692
TP15,WDV1101,0.454
TP15,WEL0331,23.924
TP15,WHI2201,0.166
TP15,WIL0331,23.253
TP15,WIR0331,69.291
TP15,WKM2201,5.202
TP15,WPR0331,5.687
TP15,WPR0661,1.85
TP15,WPT0111,0
TP15,WPW0331,15.086
TP15,WRD0331,52.378
TP15,WRK0331,34.293
TP15,WTK0111,0
TP15,WTK0331,0
TP15,WTU0331,63.671
TP15,WVY0111,2.968
TP15,WWD1102,-22.809
TP15,WWD1103,-17.733
TP16,BOB1101,57.889
TP16,CPK0331,123.823
TP16,HAM0331,109.249
TP16,HIN0331,30.701
TP16,ISL0331,69.352
TP16,KAW0111,16.262
TP16,KAW0113,0
TP16,KIN0331,13.951
TP16,KPU0661,34.773
TP16,MPE1101,93.564
TP16,PEN0331,227.872
TP16,PRM0331,45.175
TP16,WGN0331,20.395
TP16,WHI0111,69.696
TP16,WHU0331,16.016
TP16,WKO0331,26.665
TP16,KAW0112_DLS0,0
TP16,KAW0113_DLS1,35.825
TP16,ABY0111,-1.263
TP16,ALB0331,102.351
TP16,ALB1101,53.969
TP16,APS0111,0.186
TP16,ARG1101,0
TP16,ASB0331,23.427
TP16,ASB0661,29.52
TP16,ASY0111,12.918
TP16,ATU1101,0.121
TP16,BAL0331,20.746
TP16,BDE0111,8.234
TP16,BLN0331,61.844
TP16,BOB0331,8.84
TP16,BPD1101,1.601
TP16,BPE0331,81.319
TP16,BPE0551,0.067
TP16,BPT1101,0.219
TP16,BRB0331,49.664
TP16,BRK0331,21.926
TP16,BRY0661,116.755
TP16,BWK1101,0
TP16,CBG0111,28.29
TP16,CLH0111,0.353
TP16,CML0331,31.703
TP16,COL0111,0.221
TP16,COL0661,0
TP16,CPK0111,18.294
TP16,CST0331,37.472
TP16,CUL0331,6.488
TP16,CUL0661,4.118
TP16,CYD0331,1.09
TP16,CYD2201,0
TP16,DOB0331,3.542
TP16,DVK0111,10.548
TP16,EDG0331,51.223
TP16,EDN0331,5.305
TP16,FHL0331,40.765
TP16,FKN0331,54.769
TP16,GFD0331,52.373
TP16,GLN0331,64.139
TP16,GLN0332,40.575
TP16,GOR0331,22.566
TP16,GYM0661,10.326
TP16,GYT0331,8.386
TP16,HAM0111,27.247
TP16,HAM0551,0.137
TP16,HAY0111,13.759
TP16,HAY0331,13.215
TP16,HEN0331,86.906
TP16,HEP0331,109.478
TP16,HKK0661,2.854
TP16,HLY0331,20.229
TP16,HOB1101,35.789
TP16,HOR0331,7.086
TP16,HOR0661,4.2
TP16,HTI0331,24.165
TP16,HUI0331,25.865
TP16,HWA0331,21.9
TP16,HWA0332,5.441
TP16,HWA1101,0
TP16,HWA1102,0
TP16,HWB0331,45.289
TP16,HWB0332,38.115
TP16,HWB1101,7.692
TP16,INV0331,74.392
TP16,ISL0661,359.019
TP16,KAI0111,26.786
TP16,KAW0112,40.454
TP16,KAW1101,0
TP16,KBY0661,1.307
TP16,KBY0662,1.466
TP16,KIK0111,1.849
TP16,KIN0111,44.765
TP16,KIN0112,-23.934
TP16,KIN0113,16.407
TP16,KMO0331,13.199
TP16,KOE1101,27.737
TP16,KPA1101,0
TP16,KUM0661,-2.093
TP16,KWA0111,27.781
TP16,LFD1101,1.062
TP16,LFD1102,1
TP16,LTN0331,41.82
TP16,MAN2201,0.989
TP16,MAT1101,0.329
TP16,MCH0111,1.248
TP16,MER0331,0
TP16,MGM0331,6.149
TP16,MHO0331,28.102
TP16,MKE1101,0
TP16,MLG0111,19.504
TP16,MLG0331,28.134
TP16,MNG0331,86.852
TP16,MNG1101,9.533
TP16,MNI0111,6.406
TP16,MST0331,37.805
TP16,MTM0331,54.395
TP16,MTN0331,12.618
TP16,MTO0331,12.061
TP16,MTR0331,5.633
TP16,NAP2201,0
TP16,NAP2202,0
TP16,NMA0331,15.516
TP16,NPK0331,4.809
TP16,NPL0331,8.507
TP16,NSY0331,23.711
TP16,OAM0331,25.632
TP16,OKN0111,6.89
TP16,ONG0331,1.623
TP16,OPK0331,4.729
TP16,ORO1101,2.512
TP16,ORO1102,2.461
TP16,OTA0221,46.031
TP16,OTI0111,0.061
TP16,OWH0111,9.867
TP16,PAK0331,114.299
TP16,PAO1101,26.391
TP16,PEN0221,45.242
TP16,PEN0251,4.442
TP16,PEN1101,125.328
TP16,PNI0331,14.106
TP16,PPI2201,0
TP16,RDF0331,47.559
TP16,RFN1101,1.317
TP16,RFN1102,1.294
TP16,ROS0221,78.019
TP16,ROS1101,47.277
TP16,ROT0111,19.487
TP16,ROT0331,36.903
TP16,ROT1101,0
TP16,SBK0331,25.586
TP16,SBK0661,11.353
TP16,SDN0331,57.425
TP16,SFD0331,15.439
TP16,SFD2201,0
TP16,STK0331,115.452
TP16,STK0661,20.44
TP16,STU0111,6.351
TP16,SVL0331,57.594
TP16,SWN0251,2.776
TP16,SWN2201,0.08
TP16,TAK0331,83.595
TP16,TGA0111,24.088
TP16,TGA0331,68.29
TP16,THI2201,0
TP16,TIM0111,57.001
TP16,TKA0331,3.992
TP16,TKH0111,0.779
TP16,TKR0331,71.535
TP16,TKU0331,6.744
TP16,TMI0331,26.496
TP16,TMK0331,16.604
TP16,TMN0551,0.873
TP16,TMU0111,26.963
TP16,TNG0111,22.045
TP16,TNG0551,0.246
TP16,TRK0111,5.676
TP16,TUI1101,42.266
TP16,TWC2201,0.837
TP16,TWH0331,54.36
TP16,TWI2201,575.501
TP16,TWZ0331,6.078
TP16,UHT0331,23.729
TP16,WAI0111,7.6
TP16,WDV0111,1.767
TP16,WDV1101,0.52
TP16,WEL0331,26.105
TP16,WHI2201,0.166
TP16,WIL0331,22.324
TP16,WIR0331,73.041
TP16,WKM2201,5.43
TP16,WPR0331,5.49
TP16,WPR0661,1.885
TP16,WPT0111,0
TP16,WPW0331,16.068
TP16,WRD0331,56.641
TP16,WRK0331,36.102
TP16,WTK0111,0
TP16,WTK0331,0
TP16,WTU0331,68.505
TP16,WVY0111,3.097
TP16,WWD1102,-25.258
TP16,WWD1103,-22.117
TP17,BOB1101,56.63
TP17,CPK0331,127.079
TP17,HAM0331,110.788
TP17,HIN0331,31.324
TP17,ISL0331,71.145
TP17,KAW0111,16.702
TP17,KAW0113,0
TP17,KIN0331,13.891
TP17,KPU0661,36.718
TP17,MPE1101,93.774
TP17,PEN0331,232.655
TP17,PRM0331,46.41
TP17,WGN0331,22.17
TP17,WHI0111,44.937
TP17,WHU0331,16.082
TP17,WKO0331,28.311
TP17,KAW0112_DLS0,0
TP17,KAW0113_DLS1,36.038
TP17,ABY0111,-3.065
TP17,ALB0331,107.122
TP17,ALB1101,55.258
TP17,APS0111,0.186
TP17,ARG1101,0
TP17,ASB0331,23.823
TP17,ASB0661,28.966
TP17,ASY0111,12.944
TP17,ATU1101,0.117
TP17,BAL0331,23.032
TP17,BDE0111,8.148
TP17,BLN0331,62.59
TP17,BOB0331,8.06
TP17,BPD1101,1.558
TP17,BPE0331,86.916
TP17,BPE0551,0.064
TP17,BPT1101,0.226
TP17,BRB0331,41.776
TP17,BRK0331,22.121
TP17,BRY0661,110.075
TP17,BWK1101,0
TP17,CBG0111,28.614
TP17,CLH0111,0.381
TP17,CML0331,31.563
TP17,COL0111,0.223
TP17,COL0661,0
TP17,CPK0111,18.905
TP17,CST0331,37.872
TP17,CUL0331,6.532
TP17,CUL0661,5.046
TP17,CYD0331,1.856
TP17,CYD2201,0
TP17,DOB0331,3.644
TP17,DVK0111,10.927
TP17,EDG0331,53.219
TP17,EDN0331,5.194
TP17,FHL0331,42.057
TP17,FKN0331,57.009
TP17,GFD0331,54.452
TP17,GLN0331,58.719
TP17,GLN0332,41.731
TP17,GOR0331,24.204
TP17,GYM0661,11.144
TP17,GYT0331,9.106
TP17,HAM0111,27.855
TP17,HAM0551,0.138
TP17,HAY0111,13.882
TP17,HAY0331,13.668
TP17,HEN0331,89.155
TP17,HEP0331,114.371
TP17,HKK0661,1.503
TP17,HLY0331,20.396
TP17,HOB1101,37.564
TP17,HOR0331,7.239
TP17,HOR0661,4.197
TP17,HTI0331,21.998
TP17,HUI0331,25.107
TP17,HWA0331,21.924
TP17,HWA0332,5.272
TP17,HWA1101,0
TP17,HWA1102,0
TP17,HWB0331,48.716
TP17,HWB0332,40.184
TP17,HWB1101,7.914
TP17,INV0331,78.566
TP17,ISL0661,360.009
TP17,KAI0111,26.627
TP17,KAW0112,40.449
TP17,KAW1101,0
TP17,KBY0661,1.2
TP17,KBY0662,1.356
TP17,KIK0111,1.81
TP17,KIN0111,44.551
TP17,KIN0112,-24.474
TP17,KIN0113,17.316
TP17,KMO0331,12.972
TP17,KOE1101,30.447
TP17,KPA1101,0
TP17,KUM0661,-2.009
TP17,KWA0111,28.292
TP17,LFD1101,1.171
TP17,LFD1102,1.119
TP17,LTN0331,42.829
TP17,MAN2201,1.009
TP17,MAT1101,0.332
TP17,MCH0111,1.309
TP17,MER0331,0
TP17,MGM0331,6.561
TP17,MHO0331,29.132
TP17,MKE1101,0
TP17,MLG0111,20.732
TP17,MLG0331,28.73
TP17,MNG0331,89.117
TP17,MNG1101,7.579
TP17,MNI0111,6.372
TP17,MST0331,39.109
TP17,MTM0331,56.503
TP17,MTN0331,12.376
TP17,MTO0331,11.548
TP17,MTR0331,5.802
TP17,NAP2201,0
TP17,NAP2202,0
TP17,NMA0331,12.299
TP17,NPK0331,4.772
TP17,NPL0331,8.659
TP17,NSY0331,23.592
TP17,OAM0331,26.302
TP17,OKN0111,6.18
TP17,ONG0331,1.003
TP17,OPK0331,4.613
TP17,ORO1101,2.538
TP17,ORO1102,2.488
TP17,OTA0221,48.068
TP17,OTI0111,0.064
TP17,OWH0111,9.767
TP17,PAK0331,117.611
TP17,PAO1101,27.568
TP17,PEN0221,46.959
TP17,PEN0251,4.211
TP17,PEN1101,130.664
TP17,PNI0331,13.667
TP17,PPI2201,0
TP17,RDF0331,49.24
TP17,RFN1101,1.221
TP17,RFN1102,1.194
TP17,ROS0221,79.004
TP17,ROS1101,47.695
TP17,ROT0111,19.918
TP17,ROT0331,38.849
TP17,ROT1101,0
TP17,SBK0331,25.585
TP17,SBK0661,11.294
TP17,SDN0331,61.547
TP17,SFD0331,16.284
TP17,SFD2201,0
TP17,STK0331,115.921
TP17,STK0661,21.468
TP17,STU0111,6.663
TP17,SVL0331,60.567
TP17,SWN0251,2.691
TP17,SWN2201,0.1
TP17,TAK0331,86.397
TP17,TGA0111,24.362
TP17,TGA0331,71.272
TP17,THI2201,0
TP17,TIM0111,56.451
TP17,TKA0331,4.01
TP17,TKH0111,0.813
TP17,TKR0331,72.905
TP17,TKU0331,6.61
TP17,TMI0331,26.475
TP17,TMK0331,18.047
TP17,TMN0551,0.861
TP17,TMU0111,26.562
TP17,TNG0111,24.369
TP17,TNG0551,1.19
TP17,TRK0111,5.836
TP17,TUI1101,45.434
TP17,TWC2201,0.841
TP17,TWH0331,57.165
TP17,TWI2201,575.4
TP17,TWZ0331,6.568
TP17,UHT0331,24.502
TP17,WAI0111,7.661
TP17,WDV0111,1.868
TP17,WDV1101,0.532
TP17,WEL0331,27.397
TP17,WHI2201,0.168
TP17,WIL0331,20.07
TP17,WIR0331,77.812
TP17,WKM2201,5.236
TP17,WPR0331,5.762
TP17,WPR0661,2.094
TP17,WPT0111,0
TP17,WPW0331,16.487
TP17,WRD0331,57.887
TP17,WRK0331,36.605
TP17,WTK0111,0
TP17,WTK0331,0
TP17,WTU0331,70.941
TP17,WVY0111,3.211
TP17,WWD1102,-25.589
TP17,WWD1103,-24.726
TP18,BOB1101,50.266
TP18,CPK0331,127.13
TP18,HAM0331,107.738
TP18,HIN0331,30.961
TP18,ISL0331,69.84
TP18,KAW0111,16.684
TP18,KAW0113,0
TP18,KIN0331,14.225
TP18,KPU0661,36.88
TP18,MPE1101,90.372
TP18,PEN0331,232.779
TP18,PRM0331,55.79
TP18,WGN0331,23.159
TP18,WHI0111,31.486
TP18,WHU0331,15.845
TP18,WKO0331,28.265
TP18,KAW0112_DLS0,0
TP18,KAW0113_DLS1,35.996
TP18,ABY0111,-3.132
TP18,ALB0331,108.046
TP18,ALB1101,54.222
TP18,APS0111,0.177
TP18,ARG1101,0
TP18,ASB0331,24.395
TP18,ASB0661,29.415
TP18,ASY0111,12.884
TP18,ATU1101,0.116
TP18,BAL0331,23.696
TP18,BDE0111,7.995
TP18,BLN0331,60.934
TP18,BOB0331,7.584
TP18,BPD1101,1.563
TP18,BPE0331,87.298
TP18,BPE0551,0.232
TP18,BPT1101,0.226
TP18,BRB0331,40.929
TP18,BRK0331,22.022
TP18,BRY0661,112.839
TP18,BWK1101,0
TP18,CBG0111,27.784
TP18,CLH0111,0.383
TP18,CML0331,31.673
TP18,COL0111,0.201
TP18,COL0661,0
TP18,CPK0111,18.905
TP18,CST0331,38.337
TP18,CUL0331,6.918
TP18,CUL0661,4.35
TP18,CYD0331,1.1
TP18,CYD2201,0
