i_TradePeriodNodeDemand,-,-
TP2,BDE0111,7.386
TP2,BLN0331,35.884
TP2,BOB0331,4.416
TP2,BPD1101,1.239
TP2,BPE0331,35.436
TP2,BPE0551,0.233
TP2,BPT1101,0.11
TP2,BRB0331,46.456
TP2,BRK0331,12.917
TP2,BRY0661,90.902
TP2,BWK1101,0
TP2,CBG0111,15.727
TP2,CLH0111,0.315
TP2,CML0331,22.113
TP2,COL0111,0.182
TP2,COL0661,0
TP2,CPK0111,9.236
TP2,CST0331,19.981
TP2,CUL0331,4.571
TP2,CUL0661,2.739
TP2,CYD0331,0.985
TP2,CYD2201,0
TP2,DOB0331,0.815
TP2,DVK0111,5.785
TP2,EDG0331,36.19
TP2,EDN0331,4.073
TP2,FHL0331,23.537
TP2,FKN0331,44.734
TP2,GFD0331,28.032
TP2,GLN0331,93.049
TP2,GLN0332,36.381
TP2,GOR0331,16.639
TP2,GYM0661,6.116
TP2,GYT0331,5.553
TP2,HAM0111,14.856
TP2,HAM0551,0.106
TP2,HAY0111,7.618
TP2,HAY0331,7.041
TP2,HEN0331,45.872
TP2,HEP0331,58.625
TP2,HKK0661,-0.971
TP2,HLY0331,11.915
TP2,HOB1101,18.255
TP2,HOR0331,5.383
TP2,HOR0661,4.418
TP2,HTI0331,14.464
TP2,HUI0331,24.472
TP2,HWA0331,14.918
TP2,HWA0332,5.65
TP2,HWA1101,0
TP2,HWA1102,0
TP2,HWB0331,36.76
TP2,HWB0332,22.1
TP2,HWB1101,6.135
TP2,INV0331,52.677
TP2,ISL0661,282.997
TP2,KAI0111,18.402
TP2,KAW0112,38.87
TP2,KAW1101,0
TP2,KBY0661,0.882
TP2,KBY0662,1.034
TP2,KIK0111,0.928
TP2,KIN0111,44.086
TP2,KIN0112,-20.742
TP2,KIN0113,17.461
TP2,KMO0331,7.057
TP2,KOE1101,7.504
TP2,KPA1101,0
TP2,KUM0661,-2.757
TP2,KWA0111,13.378
TP2,LFD1101,0.906
TP2,LFD1102,0.903
TP2,LTN0331,11.825
TP2,MAN2201,0.939
TP2,MAT1101,0.175
TP2,MCH0111,0.869
TP2,MER0331,0
TP2,MGM0331,3.761
TP2,MHO0331,15.336
TP2,MKE1101,0.188
TP2,MLG0111,10.213
TP2,MLG0331,15.463
TP2,MNG0331,52.811
TP2,MNG1101,7.889
TP2,MNI0111,5.993
TP2,MST0331,22.55
TP2,MTM0331,29.571
TP2,MTN0331,8.181
TP2,MTO0331,5.865
TP2,MTR0331,3.523
TP2,NAP2201,0
TP2,NAP2202,0
TP2,NMA0331,-0.743
TP2,NPK0331,2.93
TP2,NPL0331,4.983
TP2,NSY0331,22.635
TP2,OAM0331,19.35
TP2,OKN0111,5.36
TP2,ONG0331,5.068
TP2,OPK0331,3.68
TP2,ORO1101,3.147
TP2,ORO1102,3.096
TP2,OTA0221,28.162
TP2,OTI0111,0.059
TP2,OWH0111,5.173
TP2,PAK0331,61.828
TP2,PAO1101,15.882
