i_TradePeriodNodeDemand,,
-,,
TP1,BOB1101,31.329
TP1,CPK0331,68.173
TP1,HAM0331,60.871
TP1,HIN0331,15.986
TP1,ISL0331,43.551
TP1,KAW0111,13.268
TP1,KAW0113,0
TP1,KIN0331,9.051
TP1,KPU0661,19.066
TP1,MPE1101,51.126
TP1,PEN0331,130.085
TP1,PRM0331,27.658
TP1,WGN0331,12.118
TP1,WHI0111,53.843
TP1,WHU0331,9.858
TP1,WKO0331,17.238
TP1,KAW0112_DLS0,0
TP1,KAW0113_DLS1,65.051
TP1,ABY0111,2.551
TP1,ALB0331,57.663
TP1,ALB1101,29.54
TP1,APS0111,0.152
TP1,ARG1101,0.035
TP1,ASB0331,15.476
TP1,ASB0661,20.066
TP1,ASY0111,10.54
TP1,ATU1101,0.109
TP1,BAL0331,14.109
TP1,BDE0111,6.031
TP1,BLN0331,35.805
TP1,BOB0331,4.881
TP1,BPD1101,1.29
TP1,BPE0331,44.132
TP1,BPE0551,0.293
TP1,BPT1101,0.235
TP1,BRB0331,46.003
TP1,BRK0331,13.709
TP1,BRY0661,85.273
TP1,BWK1101,0
TP1,CBG0111,16.381
TP1,CLH0111,0.266
TP1,CML0331,15.392
TP1,COL0111,0.15
TP1,COL0661,0
TP1,CPK0111,9.136
TP1,CST0331,21.129
TP1,CUL0331,4.16
TP1,CUL0661,2.883
TP1,CYD0331,-1.294
TP1,CYD2201,0
TP1,DOB0331,0.683
TP1,DVK0111,6.441
TP1,EDG0331,37.895
TP1,EDN0331,3.769
TP1,FHL0331,25.375
TP1,FKN0331,32.594
TP1,GFD0331,27.738
TP1,GLN0331,96.445
TP1,GLN0332,39.733
TP1,GOR0331,15.485
TP1,GYM0661,6.467
TP1,GYT0331,3.048
TP1,HAM0111,15.633
TP1,HAM0551,0.091
TP1,HAY0111,7.48
TP1,HAY0331,7.179
TP1,HEN0331,51.323
TP1,HEP0331,64.733
TP1,HKK0661,-2.099
TP1,HLY0331,12.76
TP1,HOB1101,18.789
TP1,HOR0331,5.068
TP1,HOR0661,3.192
TP1,HTI0331,16.988
TP1,HUI0331,20.085
TP1,HWA0331,15.889
TP1,HWA0332,5.657
TP1,HWA1101,0
TP1,HWA1102,0
TP1,HWB0331,36.923
TP1,HWB0332,20.856
TP1,HWB1101,6.33
TP1,INV0331,44.86
TP1,ISL0661,259.353
TP1,KAI0111,16.947
TP1,KAW0112,40.548
TP1,KAW1101,0
TP1,KBY0661,0.837
TP1,KBY0662,0.989
TP1,KIK0111,0.976
TP1,KIN0111,41.356
TP1,KIN0112,-21.861
TP1,KIN0113,16.883
TP1,KMO0331,7.658
TP1,KOE1101,9.544
TP1,KPA1101,0
TP1,KUM0661,-2.797
TP1,KWA0111,13.328
TP1,LFD1101,0.908
TP1,LFD1102,0.8
TP1,LTN0331,23.803
TP1,MAN2201,0.855
TP1,MAT1101,0.174
TP1,MCH0111,0.845
TP1,MER0331,0
TP1,MGM0331,3.985
TP1,MHO0331,16.461
TP1,MKE1101,0.186
TP1,MLG0111,10.731
TP1,MLG0331,14.867
