i_TradePeriodEnergyOffer
_
TP1,CYD2201_CYD0,t5,i_GenerationMWOfferPrice, 1100, ,
TP1,GLN0332_GLN0,t1,i_GenerationMWOffer, 58, ,
TP1,GLN0332_GLN0,t1,i_GenerationMWOfferPrice, 0, ,
TP1,HLY2201_HLY1,t1,i_GenerationMWOffer, 110, ,
TP1,HLY2201_HLY1,t1,i_GenerationMWOfferPrice, 0.01, ,
TP1,HLY2201_HLY1,t2,i_GenerationMWOffer, 40, ,
TP1,HLY2201_HLY1,t2,i_GenerationMWOfferPrice, 85.01, ,
TP1,HLY2201_HLY1,t3,i_GenerationMWOffer, 27, ,
TP1,HLY2201_HLY1,t3,i_GenerationMWOfferPrice, 88.01, ,
TP1,HLY2201_HLY1,t4,i_GenerationMWOffer, 33, ,
TP1,HLY2201_HLY1,t4,i_GenerationMWOfferPrice, 240.01, ,
TP1,HLY2201_HLY1,t5,i_GenerationMWOffer, 30, ,
TP1,HLY2201_HLY1,t5,i_GenerationMWOfferPrice, 245.01, ,
TP1,HLY2201_HLY2,t1,i_GenerationMWOffer, 190, ,
TP1,HLY2201_HLY2,t1,i_GenerationMWOfferPrice, 0.01, ,
TP1,HLY2201_HLY2,t3,i_GenerationMWOffer, 10, ,
TP1,HLY2201_HLY2,t3,i_GenerationMWOfferPrice, 2000.02, ,
TP1,HLY2201_HLY2,t5,i_GenerationMWOffer, 10, ,
TP1,HLY2201_HLY2,t5,i_GenerationMWOfferPrice, 4995.02, ,
TP1,HLY2201_HLY5,t1,i_GenerationMWOffer, 220, ,
TP1,HLY2201_HLY5,t1,i_GenerationMWOfferPrice, 0, ,
TP1,HLY2201_HLY5,t2,i_GenerationMWOffer, 30, ,
TP1,HLY2201_HLY5,t2,i_GenerationMWOfferPrice, 13.05, ,
TP1,HLY2201_HLY5,t3,i_GenerationMWOffer, 50, ,
TP1,HLY2201_HLY5,t3,i_GenerationMWOfferPrice, 27.05, ,
TP1,HLY2201_HLY5,t4,i_GenerationMWOffer, 30, ,
TP1,HLY2201_HLY5,t4,i_GenerationMWOfferPrice, 45.05, ,
TP1,HLY2201_HLY5,t5,i_GenerationMWOffer, 40, ,
TP1,HLY2201_HLY5,t5,i_GenerationMWOfferPrice, 51.65, ,
TP1,HLY2201_HLY6,t1,i_GenerationMWOffer, 44, ,
TP1,HLY2201_HLY6,t1,i_GenerationMWOfferPrice, 0.06, ,
TP1,HWA1101_PTA1,t1,i_GenerationMWOffer, 3, ,
TP1,HWA1101_PTA1,t1,i_GenerationMWOfferPrice, 0, ,
TP1,HWA1101_PTA1,t2,i_GenerationMWOffer, 6, ,
TP1,HWA1101_PTA1,t2,i_GenerationMWOfferPrice, 220.17, ,
TP1,HWA1101_PTA1,t3,i_GenerationMWOffer, 2, ,
TP1,HWA1101_PTA1,t3,i_GenerationMWOfferPrice, 290.51, ,
TP1,HWA1101_PTA2,t1,i_GenerationMWOffer, 9, ,
TP1,HWA1101_PTA2,t1,i_GenerationMWOfferPrice, 235.29, ,
TP1,HWA1101_PTA2,t2,i_GenerationMWOffer, 2, ,
TP1,HWA1101_PTA2,t2,i_GenerationMWOfferPrice, 291.51, ,
TP1,HWA1101_PTA3,t1,i_GenerationMWOffer, 9, ,
TP1,HWA1101_PTA3,t1,i_GenerationMWOfferPrice, 283, ,
TP1,HWA1101_PTA3,t2,i_GenerationMWOffer, 1, ,
TP1,HWA1101_PTA3,t2,i_GenerationMWOfferPrice, 292.8, ,
TP1,HWA1102_WAA0,t1,i_GenerationMWOffer, 7.5, ,
TP1,HWA1102_WAA0,t1,i_GenerationMWOfferPrice, 0, ,
TP1,HWA1102_WAA0,t2,i_GenerationMWOffer, 0.5, ,
TP1,HWA1102_WAA0,t2,i_GenerationMWOfferPrice, 0.01, ,
TP1,HWA1102_WAA1,t1,i_GenerationMWOffer, 8, ,
TP1,HWA1102_WAA1,t1,i_GenerationMWOfferPrice, 0, ,
TP1,HWB0331_WPI0,t1,i_GenerationMWOffer, 0, ,
TP1,HWB0331_WPI0,t1,i_GenerationMWOfferPrice, 0.01, ,
TP1,HWB0331_WPI0,t2,i_GenerationMWOffer, 2, ,
TP1,HWB0331_WPI0,t2,i_GenerationMWOfferPrice, 310.18, ,
TP1,HWB0331_WPI0,t3,i_GenerationMWOffer, 2, ,
TP1,HWB0331_WPI0,t3,i_GenerationMWOfferPrice, 333.17, ,
TP1,HWB0331_WPI0,t4,i_GenerationMWOffer, 2, ,
TP1,HWB0331_WPI0,t4,i_GenerationMWOfferPrice, 486.94, ,
TP1,HWB0331_WPI0,t5,i_GenerationMWOffer, 19, ,
TP1,HWB0331_WPI0,t5,i_GenerationMWOfferPrice, 633.03, ,
TP1,KAW0112_ONU0,t1,i_GenerationMWOffer, 46, ,
TP1,KAW0112_ONU0,t1,i_GenerationMWOfferPrice, 0, ,
TP1,KAW1101_KAG0,t1,i_GenerationMWOffer, 0, ,
TP1,KAW1101_KAG0,t1,i_GenerationMWOfferPrice, 0.01, ,
TP1,KPA1101_KPI1,t1,i_GenerationMWOffer, 7, ,
TP1,KPA1101_KPI1,t1,i_GenerationMWOfferPrice, 0, ,
TP1,KPA1101_KPI1,t2,i_GenerationMWOffer, 6.5, ,
TP1,KPA1101_KPI1,t2,i_GenerationMWOfferPrice, 0.01, ,
TP1,KPO1101_KPO0,t1,i_GenerationMWOffer, 42, ,
TP1,KPO1101_KPO0,t1,i_GenerationMWOfferPrice, 0, ,
TP1,KPO1101_KPO0,t2,i_GenerationMWOffer, 4, ,
TP1,KPO1101_KPO0,t2,i_GenerationMWOfferPrice, 89.5, ,
TP1,KPO1101_KPO0,t5,i_GenerationMWOffer, 18, ,
TP1,KPO1101_KPO0,t5,i_GenerationMWOfferPrice, 390, ,
