i_TradePeriodNodeDemand,,,
-,,,
TP1,TUI1101,24.804,_
TP1,TWC2201,-19.917,_
TP1,TWH0331,15.874,_
TP1,TWI2201,576.696,_
TP1,TWZ0331,4.17,_
TP1,UHT0331,13.021,_
TP1,WAI0111,5.001,_
TP1,WDV0111,1.068,_
TP1,WDV1101,-0.531,_
TP1,WEL0331,13.011,_
TP1,WHI2201,0.142,_
TP1,WIL0331,-28.093,_
TP1,WIR0331,45.903,_
TP1,WKM2201,3.382,_
TP1,WPR0331,3.707,_
TP1,WPR0661,1.692,_
TP1,WPT0111,0,_
TP1,WPW0331,10.22,_
TP1,WRD0331,28.11,_
TP1,WRK0331,18.364,_
TP1,WTK0111,1.345,_
TP1,WTK0331,0,_
TP1,WTU0331,45.665,_
TP1,WVY0111,1.534,_
TP1,WWD1102,-59.653,_
TP1,WWD1103,-58.908,_
TP2,BOB1101,28.481,_
TP2,CPK0331,65.504,_
TP2,HAM0331,56.44,_
TP2,HIN0331,14.424,_
TP2,ISL0331,40.273,_
TP2,KAW0111,14.941,_
TP2,KAW0113,0,_
TP2,KIN0331,7.095,_
TP2,KPU0661,17.078,_
TP2,MPE1101,44.757,_
TP2,PEN0331,118.477,_
TP2,PRM0331,24.838,_
TP2,WGN0331,13.086,_
TP2,WHI0111,51.377,_
TP2,WHU0331,9.131,_
TP2,WKO0331,15.396,_
TP2,KAW0112_DLS0,0,_
TP2,KAW0113_DLS1,37.774,_
TP2,ABY0111,2.1,_
TP2,ALB0331,52.889,_
TP2,ALB1101,22.295,_
TP2,APS0111,0.152,_
TP2,ARG1101,0,_
TP2,ASB0331,14.665,_
TP2,ASB0661,22.437,_
TP2,ASY0111,9.733,_
TP2,ATU1101,0.122,_
TP2,BAL0331,15.824,_
TP2,BDE0111,5.84,_
TP2,BLN0331,34.079,_
TP2,BOB0331,4.462,_
TP2,BPD1101,1.065,_
TP2,BPE0331,40.283,_
TP2,BPE0551,0.167,_
TP2,BPT1101,0.118,_
TP2,BRB0331,47.16,_
TP2,BRK0331,12.167,_
TP2,BRY0661,86.506,_
TP2,BWK1101,0,_
TP2,CBG0111,14.722,_
TP2,CLH0111,0.238,_
TP2,CML0331,18.362,_
TP2,COL0111,0.146,_
TP2,COL0661,0,_
TP2,CPK0111,8.413,_
TP2,CST0331,13.396,_
TP2,CUL0331,3.575,_
TP2,CUL0661,2.425,_
TP2,CYD0331,-1.658,_
TP2,CYD2201,0,_
TP2,DOB0331,-0.193,_
TP2,DVK0111,5.857,_
TP2,EDG0331,38.711,_
