Trading_date,,,FIR (MW),SIR (MW)
13-Jul,TP1,NI,250.286,320.406
13-Jul,TP1,SI,59.563,79.45
13-Jul,TP2,NI,240.531,319.734
13-Jul,TP2,SI,64.443,79.45
13-Jul,TP3,NI,228.345,296
13-Jul,TP3,SI,68.099,79.45
13-Jul,TP4,NI,228.765,276
13-Jul,TP4,SI,69.809,79.45
13-Jul,TP5,NI,238.07,279
13-Jul,TP5,SI,73.882,79.45
13-Jul,TP6,NI,232.452,277
13-Jul,TP6,SI,71.788,79.45
13-Jul,TP7,NI,246.823,281
13-Jul,TP7,SI,77.265,79.45
13-Jul,TP8,NI,261.349,296
13-Jul,TP8,SI,75.324,79.45
13-Jul,TP9,NI,260.852,296
13-Jul,TP9,SI,72.149,79.45
13-Jul,TP10,NI,253.953,296
13-Jul,TP10,SI,71.891,79.45
13-Jul,TP11,NI,230.201,299.052
13-Jul,TP11,SI,67.289,79.45
13-Jul,TP12,NI,268.733,311
13-Jul,TP12,SI,66.517,79.45
13-Jul,TP13,NI,228.923,310
13-Jul,TP13,SI,64.394,79.45
13-Jul,TP14,NI,212.117,320.661
13-Jul,TP14,SI,46.413,79.45
13-Jul,TP15,NI,219.344,310
13-Jul,TP15,SI,20.889,79.45
13-Jul,TP16,NI,175.789,283.19
13-Jul,TP16,SI,30.4,79.45
13-Jul,TP17,NI,202.944,315
13-Jul,TP17,SI,29.386,79.45
13-Jul,TP18,NI,209.03,315
13-Jul,TP18,SI,31.757,79.45
13-Jul,TP19,NI,210.381,309.988
13-Jul,TP19,SI,32.608,79.45
13-Jul,TP20,NI,189.023,307.467
13-Jul,TP20,SI,33.775,79.45
13-Jul,TP21,NI,172.829,298.414
13-Jul,TP21,SI,36.285,79.45
13-Jul,TP22,NI,164.342,281.7
13-Jul,TP22,SI,34.212,79.45
13-Jul,TP23,NI,177.159,285.853
13-Jul,TP23,SI,35.494,79.45
13-Jul,TP24,NI,193.523,306.001
13-Jul,TP24,SI,39.138,79.45
13-Jul,TP25,NI,205.548,311.002
13-Jul,TP25,SI,42.055,79.45
13-Jul,TP26,NI,210.428,324.181
13-Jul,TP26,SI,44.428,79.45
13-Jul,TP27,NI,207.414,296.812
13-Jul,TP27,SI,44.642,79.45
13-Jul,TP28,NI,212.936,287.574
13-Jul,TP28,SI,45.385,79.45
13-Jul,TP29,NI,211.431,312.509
13-Jul,TP29,SI,49.769,79.45
13-Jul,TP30,NI,215.766,310.199
13-Jul,TP30,SI,52.404,79.45
13-Jul,TP31,NI,215.891,313.532
13-Jul,TP31,SI,46.495,79.45
13-Jul,TP32,NI,199.093,308
13-Jul,TP32,SI,44.623,79.45
13-Jul,TP33,NI,191.661,300.825
13-Jul,TP33,SI,41.755,79.45
13-Jul,TP34,NI,185.292,307
13-Jul,TP34,SI,38.897,79.45
13-Jul,TP35,NI,148.693,307
13-Jul,TP35,SI,31.483,79.45
13-Jul,TP36,NI,167.445,307
13-Jul,TP36,SI,29.101,79.45
13-Jul,TP37,NI,147.701,299.8
13-Jul,TP37,SI,28.418,79.45
13-Jul,TP38,NI,179.741,300.521
13-Jul,TP38,SI,27.515,79.45
13-Jul,TP39,NI,196.306,307
13-Jul,TP39,SI,29.714,79.45
13-Jul,TP40,NI,179.155,307
13-Jul,TP40,SI,28.966,79.45
13-Jul,TP41,NI,201.963,326.985
13-Jul,TP41,SI,31.647,79.45
13-Jul,TP42,NI,207.664,329.798
13-Jul,TP42,SI,35.029,79.45
13-Jul,TP43,NI,192.535,324.258
13-Jul,TP43,SI,38.535,79.45
13-Jul,TP44,NI,188.996,306
13-Jul,TP44,SI,45.888,79.45
13-Jul,TP45,NI,202.164,305
13-Jul,TP45,SI,40.807,79.45
13-Jul,TP46,NI,200.08,305
13-Jul,TP46,SI,49.563,79.45
13-Jul,TP47,NI,174.817,241
13-Jul,TP47,SI,54.813,79.45
13-Jul,TP48,NI,171.181,241
13-Jul,TP48,SI,59.501,79.45
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
