i_TradePeriodSustainedILROffer,-,-,-,-,
TP3,KAW0111,t3,i_ILROfferMax,0.62, 
TP3,KAW0111,t3,i_ILROfferPrice,602, 
TP3,KAW0113,t1,i_ILROfferMax,29, 
TP3,KAW0113,t1,i_ILROfferPrice,0, 
TP3,KIN0331,t1,i_ILROfferMax,0.3, 
TP3,KIN0331,t1,i_ILROfferPrice,0, 
TP3,KPU0661,t1,i_ILROfferMax,0.3, 
TP3,KPU0661,t1,i_ILROfferPrice,0, 
TP3,MPE1101,t1,i_ILROfferMax,3.5, 
TP3,MPE1101,t1,i_ILROfferPrice,0, 
TP3,PEN0331,t1,i_ILROfferMax,6.4, 
TP3,PEN0331,t1,i_ILROfferPrice,0.01, 
TP3,PEN0331,t2,i_ILROfferMax,3.2, 
TP3,PEN0331,t2,i_ILROfferPrice,0.45, 
TP3,PEN0331,t3,i_ILROfferMax,3.2, 
TP3,PEN0331,t3,i_ILROfferPrice,2.95, 
TP3,PRM0331,t1,i_ILROfferMax,55, 
TP3,PRM0331,t1,i_ILROfferPrice,0, 
TP3,PRM0331,t2,i_ILROfferMax,58.917, 
TP3,PRM0331,t2,i_ILROfferPrice,0.02, 
TP3,WGN0331,t1,i_ILROfferMax,0, 
TP3,WGN0331,t1,i_ILROfferPrice,0.1, 
TP3,WHI0111,t1,i_ILROfferMax,30, 
TP3,WHI0111,t1,i_ILROfferPrice,0, 
TP3,WHU0331,t1,i_ILROfferMax,0.3, 
TP3,WHU0331,t1,i_ILROfferPrice,0, 
TP3,WKO0331,t1,i_ILROfferMax,0.2, 
TP3,WKO0331,t1,i_ILROfferPrice,0, 
TP4,BOB1101,t1,i_ILROfferMax,2.388, 
TP4,BOB1101,t1,i_ILROfferPrice,0, 
TP4,CPK0331,t1,i_ILROfferMax,1.835, 
TP4,CPK0331,t1,i_ILROfferPrice,0.01, 
TP4,CPK0331,t2,i_ILROfferMax,1.1, 
TP4,CPK0331,t2,i_ILROfferPrice,5.15, 
TP4,CPK0331,t3,i_ILROfferMax,0.7, 
TP4,CPK0331,t3,i_ILROfferPrice,10.29, 
TP4,HAM0331,t1,i_ILROfferMax,2.86, 
TP4,HAM0331,t1,i_ILROfferPrice,0.01, 
TP4,HIN0331,t1,i_ILROfferMax,0.5, 
TP4,HIN0331,t1,i_ILROfferPrice,0, 
TP4,ISL0331,t1,i_ILROfferMax,0, 
TP4,ISL0331,t1,i_ILROfferPrice,0, 
TP4,KAW0111,t1,i_ILROfferMax,3.59, 
TP4,KAW0111,t1,i_ILROfferPrice,600, 
TP4,KAW0111,t2,i_ILROfferMax,1.79, 
TP4,KAW0111,t2,i_ILROfferPrice,601, 
TP4,KAW0111,t3,i_ILROfferMax,0.62, 
TP4,KAW0111,t3,i_ILROfferPrice,602, 
TP4,KAW0113,t1,i_ILROfferMax,29, 
TP4,KAW0113,t1,i_ILROfferPrice,0, 
TP4,KIN0331,t1,i_ILROfferMax,0.3, 
