i_TradePeriodBranchDefn,,,,,
-,,,,,
TP1,ABY_MXT1.MXT1,5149,5146,,_
TP1,ABY_T2.T2,541,542,,_
TP1,ALB_HEN1.1,6,15,,_
TP1,ALB_HEN2.1,6,15,,_
TP1,ALB_HEN3.1,7,16,,_
TP1,ALB_HPI1.1,7,19,,_
TP1,ALB_SVL1.1,7,33,,_
TP1,ALB_SVL2.1,7,34,,_
TP1,ALB_T3.T3,7,4,,_
TP1,ALB_T4.L4,752,5,,_
TP1,ALB_T4.M4,6,5,,_
TP1,ALB_T4.T4,7,5,,_
TP1,ALB_T6.T6,7,4,,_
TP1,ALB_T8.T8,7,4,,_
TP1,ALB_WRD1.1,6,43,,_
TP1,ALB_WRD2.1,6,42,,_
TP1,ALB_WRD3.1,6,732,,_
TP1,ALB_WRD4.1,7,44,,_
TP1,ALD_DOB.1,571,579,,_
TP1,AMS_HKK1.1,568,587,,_
TP1,ANI_MAT.1,159,197,,_
TP1,ANI_T1.L1,155,157,,_
TP1,ANI_T1.M1,156,157,,_
TP1,ANI_T1.T1,159,157,,_
TP1,ANI_T2.L2,154,158,,_
TP1,ANI_T2.M2,156,158,,_
TP1,ANI_T2.T2,159,158,,_
TP1,APS_T1.T1,569,570,,_
TP1,ARA_T1.T1,163,162,,_
TP1,ARA_T2.T2,163,161,,_
TP1,ARA_T3.T3,163,160,,_
TP1,ARA_WRK.1,163,292,,_
TP1,ARG_T1.T1,487,486,,_
TP1,ARI_BOB1.1,101,46,,_
TP1,ARI_HAM1.1,101,112,,_
TP1,ARI_HAM2.1,101,112,,_
TP1,ARI_HTI.1,101,124,,_
TP1,ARI_KIN1.1,736,129,,_
TP1,ARI_KIN2.1,736,129,,_
TP1,ARI_ONG.1,101,104,,_
TP1,ARI_ONG.2,138,104,,_
TP1,ARI_ONG.3,124,104,,_
TP1,ARI_T1.T1,101,96,,_
TP1,ARI_T5.T5,736,100,,_
TP1,ARI_T6.T6,736,99,,_
TP1,ARI_T7.T7,736,98,,_
TP1,ARI_T8.T8,736,97,,_
TP1,ASB_BRY.1,545,553,,_
TP1,ASB_HBK1.1,544,555,,_
TP1,ASB_ISL1.1,545,530,,_
TP1,ASB_T1.T1,545,543,,_
TP1,ASB_T10.T10,545,544,,_
TP1,ASB_T3.T3,545,543,,_
TP1,ASB_T8.T8,545,544,,_
TP1,ASB_T9.T9,545,544,,_
TP1,ASB_TIM_TWZ1.1,545,539,,_
TP1,ASB_TIM_TWZ1.2,539,558,,_
TP1,ASB_TIM_TWZ1.3,539,659,,_
TP1,ASB_TIM_TWZ2.1,545,540,,_
TP1,ASB_TIM_TWZ2.2,540,559,,_
TP1,ASB_TIM_TWZ2.3,540,659,,_
TP1,ASY_SBK.1,521,534,,_
TP1,ASY_T3.T3,521,747,,_
TP1,ASY_T5.T5,521,520,,_
TP1,ASY_WPR.1,521,536,,_
TP1,ATI_OHK.1,165,223,,_
TP1,ATI_T1.T1,165,164,,_
TP1,ATI_T2.T2,165,164,,_
TP1,ATI_T3.T3,165,164,,_
TP1,ATI_T4.T4,165,164,,_
TP1,ATI_TRK1.1,165,268,,_
TP1,ATI_TRK2.1,165,268,,_
TP1,ATI_WKM.1,165,281,,_
TP1,ATU_DOB1.1,488,584,,_
TP1,ATU_RFN_IGH1.1,488,506,,_
TP1,ATU_RFN_IGH1.2,497,506,,_
TP1,AVI_BEN1.1,603,617,,_
TP1,AVI_BEN2.1,603,617,,_
TP1,AVI_T1.T1,603,602,,_
TP1,AVI_T2.T2,603,601,,_
TP1,AVI_T3.T3,603,600,,_
TP1,AVI_T4.T4,603,599,,_
TP1,AVI_WTK.1,603,668,,_
TP1,BAL_GOR.1,670,683,,_
TP1,BAL_HWB.1,670,673,,_
TP1,BAL_HWB.2,673,693,,_
TP1,BAL_MSG1.1,669,710,,_
TP1,BAL_MSG2.1,669,710,,_
TP1,BAL_T1.T1,670,669,,_
TP1,BAL_T2.T2,670,669,,_
TP1,BDE_EDN.1,672,681,,_
TP1,BDE_GOR.1,672,683,,_
TP1,BDE_T1.T1,672,671,,_
TP1,BDE_T2.T2,672,671,,_
TP1,BEN_HAY1.1,616,448,,_
TP1,BEN_HAY2.1,615,449,,_
TP1,BEN_OHB.1,617,645,,_
TP1,BEN_OHC.1,617,650,,_
TP1,BEN_T27.T27,617,605,,_
TP1,BEN_T28.T28,617,615,,_
TP1,BEN_T29.T29,617,604,,_
TP1,BEN_T30.T30,617,616,,_
TP1,BEN_T42.L42,608,613,,_
TP1,BEN_T42.M42,610,613,,_
TP1,BEN_T42.T42,617,613,,_
TP1,BEN_T44.L44,611,612,,_
TP1,BEN_T44.M44,607,612,,_
TP1,BEN_T44.T44,617,612,,_
TP1,BEN_T46.L46,606,614,,_
TP1,BEN_T46.M46,609,614,,_
TP1,BEN_T46.T46,617,614,,_
TP1,BEN_TWZ.1,617,659,,_
TP1,BLN_KIK.1,487,490,,_
TP1,BLN_KIK.2,487,501,,_
TP1,BLN_STK1.1,490,515,,_
TP1,BLN_STK2.1,490,515,,_
TP1,BLN_T1.T1,490,489,,_
TP1,BLN_T2.T2,490,489,,_
TP1,BLN_T3.T3,490,489,,_
TP1,BOB_HAM1.1,46,112,,_
TP1,BOB_HAM2.1,46,112,,_
TP1,BOB_MER.33,45,60,,_
TP1,BOB_OTA1.1,46,95,,_
TP1,BOB_OTA1.2,734,95,,_
TP1,BOB_OTA2.1,46,735,,_
TP1,BOB_OTA2.2,734,735,,_
TP1,BOB_T2.T2,46,45,,_
TP1,BOB_T3.T3,46,45,,_
TP1,BPE_BRK1.1,364,316,,_
TP1,BPE_BRK2.1,364,316,,_
TP1,BPE_MHO1.1,363,376,,_
TP1,BPE_MHO2.1,363,375,,_
TP1,BPE_MTR1.1,363,381,,_
TP1,BPE_PRM_HAY1.1,364,425,,_
